#sample_accession	library_name	run_accession
PJDO800_99	PJDO800_99	ERR956742
PJDO800_12	PJDO800_12	ERR956743
PJDO800_24	PJDO800_24	ERR956744
PJDO800_36	PJDO800_36	ERR956745
PJDO800_50	PJDO800_50	ERR956746
PJDO800_62	PJDO800_62	ERR956747
PJDO800_74	PJDO800_74	ERR956748
PJDO800_88	PJDO800_88	ERR956749
PJDO800_100	PJDO800_100	ERR956750
PJDO800_101	PJDO800_101	ERR956751
PJDO800_113	PJDO800_113	ERR956752
PJDO800_125	PJDO800_125	ERR956753
PJDO800_137	PJDO800_137	ERR956754
PJDO800_163	PJDO800_163	ERR956755
PJDO800_192	PJDO800_192	ERR956756
PJDO800_102	PJDO800_102	ERR956757
PJDO800_114	PJDO800_114	ERR956758
PJDO800_138	PJDO800_138	ERR956759
PJDO800_150	PJDO800_150	ERR956760
PJDO800_164	PJDO800_164	ERR956761
PJDO800_181	PJDO800_181	ERR956762
PJDO800_103	PJDO800_103	ERR956763
PJDO800_115	PJDO800_115	ERR956764
PJDO800_127	PJDO800_127	ERR956765
PJDO800_139	PJDO800_139	ERR956766
PJDO800_151	PJDO800_151	ERR956767
PJDO800_165	PJDO800_165	ERR956768
PJDO800_182	PJDO800_182	ERR956769
PJDO800_194	PJDO800_194	ERR956770
PJDO800_104	PJDO800_104	ERR956771
PJDO800_116	PJDO800_116	ERR956772
PJDO800_128	PJDO800_128	ERR956773
PJDO800_140	PJDO800_140	ERR956774
PJDO800_152	PJDO800_152	ERR956775
PJDO800_281	PJDO800_281	ERR956776
PJDO800_183	PJDO800_183	ERR956777
PJDO800_195	PJDO800_195	ERR956778
PJDO800_105	PJDO800_105	ERR956779
PJDO800_117	PJDO800_117	ERR956780
PJDO800_129	PJDO800_129	ERR956781
PJDO800_141	PJDO800_141	ERR956782
PJDO800_168	PJDO800_168	ERR956783
PJDO800_196	PJDO800_196	ERR956784
PJDO800_106	PJDO800_106	ERR956785
PJDO800_118	PJDO800_118	ERR956786
PJDO800_130	PJDO800_130	ERR956787
PJDO800_142	PJDO800_142	ERR956788
PJDO800_170	PJDO800_170	ERR956789
PJDO800_197	PJDO800_197	ERR956790
PJDO800_107	PJDO800_107	ERR956791
PJDO800_119	PJDO800_119	ERR956792
PJDO800_131	PJDO800_131	ERR956793
PJDO800_143	PJDO800_143	ERR956794
PJDO800_156	PJDO800_156	ERR956795
PJDO800_171	PJDO800_171	ERR956796
PJDO800_198	PJDO800_198	ERR956797
PJDO800_108	PJDO800_108	ERR956798
PJDO800_120	PJDO800_120	ERR956799
PJDO800_132	PJDO800_132	ERR956800
PJDO800_144	PJDO800_144	ERR956801
PJDO800_157	PJDO800_157	ERR956802
PJDO800_172	PJDO800_172	ERR956803
PJDO800_199	PJDO800_199	ERR956804
PJDO800_109	PJDO800_109	ERR956805
PJDO800_121	PJDO800_121	ERR956806
PJDO800_133	PJDO800_133	ERR956807
PJDO800_145	PJDO800_145	ERR956808
PJDO800_159	PJDO800_159	ERR956809
PJDO800_173	PJDO800_173	ERR956810
PJDO800_200	PJDO800_200	ERR956811
PJDO800_110	PJDO800_110	ERR956812
PJDO800_122	PJDO800_122	ERR956813
PJDO800_134	PJDO800_134	ERR956814
PJDO800_146	PJDO800_146	ERR956815
PJDO800_160	PJDO800_160	ERR956816
PJDO800_174	PJDO800_174	ERR956817
PJDO800_1	PJDO800_1	ERR956818
PJDO800_77	PJDO800_77	ERR956819
PJDO800_89	PJDO800_89	ERR956820
PJDO800_2	PJDO800_2	ERR956821
PJDO800_14	PJDO800_14	ERR956822
PJDO800_26	PJDO800_26	ERR956823
PJDO800_40	PJDO800_40	ERR956824
PJDO800_52	PJDO800_52	ERR956825
PJDO800_64	PJDO800_64	ERR956826
PJDO800_78	PJDO800_78	ERR956827
PJDO800_90	PJDO800_90	ERR956828
PJDO800_3	PJDO800_3	ERR956829
PJDO800_15	PJDO800_15	ERR956830
PJDO800_27	PJDO800_27	ERR956831
PJDO800_41	PJDO800_41	ERR956832
PJDO800_53	PJDO800_53	ERR956833
PJDO800_65	PJDO800_65	ERR956834
PJDO800_79	PJDO800_79	ERR956835
PJDO800_91	PJDO800_91	ERR956836
PJDO800_4	PJDO800_4	ERR956837
PJDO800_16	PJDO800_16	ERR956838
PJDO800_28	PJDO800_28	ERR956839
PJDO800_42	PJDO800_42	ERR956840
PJDO800_54	PJDO800_54	ERR956841
PJDO800_66	PJDO800_66	ERR956842
PJDO800_80	PJDO800_80	ERR956843
PJDO800_92	PJDO800_92	ERR956844
PJDO800_17	PJDO800_17	ERR956845
PJDO800_29	PJDO800_29	ERR956846
PJDO800_43	PJDO800_43	ERR956847
PJDO800_6	PJDO800_6	ERR956848
PJDO800_18	PJDO800_18	ERR956849
PJDO800_30	PJDO800_30	ERR956850
PJDO800_44	PJDO800_44	ERR956851
PJDO800_68	PJDO800_68	ERR956852
PJDO800_13	PJDO800_13	ERR963211
PJDO800_25	PJDO800_25	ERR963212
PJDO800_37	PJDO800_37	ERR963213
PJDO800_51	PJDO800_51	ERR963214
PJDO800_63	PJDO800_63	ERR963215
PJDO800_82	PJDO800_82	ERR963216
PJDO800_94	PJDO800_94	ERR963217
PJDO800_7	PJDO800_7	ERR963218
PJDO800_19	PJDO800_19	ERR963219
